;date;high;low;open;close;volume;quoteVolume;weightedAverage
0;2020-02-17 00:30:59;0.0074627;0.0074627;0.0074627;0.0074627;0;0;0.0074627
1;2020-02-17 00:45:00;0.00748;0.00743;0.00746994;0.00744222;2.58724275;347.49794225;0.00744534
2;2020-02-17 01:00:00;0.0074453;0.0074;0.00744529;0.00743653;1.77289611;239.2895528;0.00740899
3;2020-02-17 01:15:00;0.00743488;0.007405;0.00743488;0.00742495;0.19454074;26.20260765;0.00742448
4;2020-02-17 01:30:00;0.007435;0.00740755;0.00742501;0.00740755;0.08792169;11.82770204;0.00743353
5;2020-02-17 01:45:00;0.00740496;0.00732381;0.00740496;0.00735874;1.88853585;256.37153584;0.0073664
6;2020-02-17 02:00:00;0.00736768;0.0073;0.00734998;0.00733499;6.11279737;834.2539939;0.00732726
7;2020-02-17 02:15:00;0.00733996;0.00731714;0.00733263;0.00732766;0.60488977;82.54069592;0.00732838
8;2020-02-17 02:30:00;0.00734025;0.00732072;0.00732072;0.00734025;0.07483198;10.21140485;0.00732827
9;2020-02-17 02:45:00;0.0073614;0.00734028;0.00735001;0.0073614;0.28876901;39.29019223;0.00734964
10;2020-02-17 03:00:00;0.00737441;0.00734994;0.00736141;0.00734994;0.62328749;84.62671001;0.00736513
11;2020-02-17 03:15:00;0.00734761;0.0072155;0.00733779;0.00721962;3.60772057;496.24735932;0.00727
12;2020-02-17 03:30:00;0.00725498;0.00717155;0.00721499;0.00721076;3.89250161;540.50296256;0.00720162
13;2020-02-17 03:45:00;0.0072494;0.00720949;0.00720949;0.007225;0.12971323;17.94765351;0.0072273
14;2020-02-17 04:00:00;0.00722998;0.00710006;0.00722998;0.00712632;5.38319917;752.85479376;0.00715038
15;2020-02-17 04:15:00;0.00721798;0.00713734;0.007155;0.007185;3.59317535;500.37689198;0.00718093
16;2020-02-17 04:30:00;0.00719991;0.00712892;0.00718012;0.00712893;2.33316896;325.24216119;0.00717363
17;2020-02-17 04:45:00;0.00715499;0.00710003;0.00712774;0.00711499;8.17929143;1149.29767129;0.00711677
18;2020-02-17 05:00:00;0.00720789;0.00714346;0.00714346;0.00720789;4.27567072;595.50950857;0.00717985
19;2020-02-17 05:15:00;0.00727859;0.0072079;0.0072079;0.00726279;1.26196688;174.43577771;0.00723456
20;2020-02-17 05:30:00;0.00735234;0.00726715;0.00726715;0.00733497;2.16218697;295.07581273;0.00732756
